seed,method,bins,ece
21,adamw,5,0.07655214692931625
21,adamw,10,0.08449883328285068
21,adamw,15,0.0798586531309411
21,adamw,20,0.09086621191818266
21,ivon_mean,5,0.02717759052757172
21,ivon_mean,10,0.060426476993598065
21,ivon_mean,15,0.06665145710576324
21,ivon_mean,20,0.0738903001183644
21,ivon_mc,5,0.19260245656732872
21,ivon_mc,10,0.19260245656732877
21,ivon_mc,15,0.1966920202565234
21,ivon_mc,20,0.1926024565673288
42,adamw,5,0.042479126481339384
42,adamw,10,0.04898105212487282
42,adamw,15,0.042479126481339335
42,adamw,20,0.06633228599093852
42,ivon_mean,5,0.02789880498312413
42,ivon_mean,10,0.06051725847646595
42,ivon_mean,15,0.0711650149896741
42,ivon_mean,20,0.07216035062447192
42,ivon_mc,5,0.17042245415941584
42,ivon_mc,10,0.1704224541594158
42,ivon_mc,15,0.17093329206545602
42,ivon_mc,20,0.17710863515239905
87,adamw,5,0.06708462827373292
87,adamw,10,0.06708462827373296
87,adamw,15,0.08424993290100244
87,adamw,20,0.07161842205096035
87,ivon_mean,5,0.024298996082507077
87,ivon_mean,10,0.048748499597422765
87,ivon_mean,15,0.07192604767624287
87,ivon_mean,20,0.06475938891526314
87,ivon_mc,5,0.15499915864784272
87,ivon_mc,10,0.1549991586478427
87,ivon_mc,15,0.1709532688735635
87,ivon_mc,20,0.18714367567008594
